VoltageCHA,VoltageDCA,Voltage,SOC,Ah
2.6497,2.6751,2.6624,0.00121552620717544,4.18718706873822e-05
2.6503,2.6748,2.66255,0.00176394742580112,6.07636249029264e-05
2.6674,2.6754,2.6714,0.00286053691741361,9.85384199825301e-05
2.672,2.6757,2.67385,0.00450579505714218,0.000155213492611495
2.6764,2.676,2.6762,0.00615105319687076,0.000211888565240459
2.6798,2.676,2.6779,0.00779630582045085,0.000268563447851755
2.6835,2.6767,2.6801,0.00944156396017943,0.00032523852048072
2.6863,2.6767,2.6815,0.0110868165837595,0.000381913403092016
2.6891,2.677,2.68305,0.0127320747234881,0.00043858847572098
2.6922,2.677,2.6846,0.0143770909490658,0.00049525521500593
2.6946,2.6773,2.68595,0.016022101659304,0.000551921764301078
2.6971,2.6776,2.68735,0.0176673597990325,0.000608596836930042
2.6996,2.6776,2.6886,0.0193126179387611,0.000665271909559007
2.7021,2.6779,2.69,0.0209578705623412,0.000721946792170303
2.7043,2.6782,2.69125,0.0226031287020698,0.000778621864799267
2.7064,2.6785,2.69245,0.0242483813256499,0.000835296747410563
2.7086,2.6788,2.6937,0.0258936394653784,0.000891971820039528
2.7108,2.6791,2.69495,0.027538897605107,0.000948646892668492
2.7123,2.6791,2.6957,0.0291839083153452,0.00100531344196364
2.7148,2.6795,2.69715,0.0308289245409229,0.00106198018124859
2.7163,2.6798,2.69805,0.032474177164503,0.00111865506385989
2.7185,2.6798,2.69915,0.0341194353042315,0.00117533013648885
2.7201,2.6801,2.7001,0.0357646934439601,0.00123200520911781
2.7219,2.6801,2.701,0.0374099460675402,0.00128868009172911
2.7238,2.6804,2.7021,0.0390552042072688,0.00134535516435808
2.7253,2.6807,2.703,0.0407004623469974,0.00140203023698704
2.7269,2.681,2.70395,0.0423457149705775,0.00145870511959834
2.7284,2.681,2.7047,0.043990973110306,0.0015153801922273
2.7306,2.6813,2.70595,0.0456359838205442,0.00157204674152245
2.7318,2.6816,2.7067,0.0472810000461219,0.0016287134808074
2.7337,2.6816,2.70765,0.0489262581858505,0.00168538855343636
2.7349,2.6822,2.70855,0.0505715108094306,0.00174206343604766
2.7362,2.6826,2.7094,0.0522167689491591,0.00179873850867662
2.7384,2.6829,2.71065,0.0538617796593973,0.00185540505797177
2.7396,2.6829,2.71125,0.055506795884975,0.00191207179725672
2.7408,2.6832,2.712,0.0571518121105527,0.00196873853654167
2.7424,2.6835,2.71295,0.0587968228207908,0.00202540508583682
2.7439,2.6838,2.71385,0.0604420809605194,0.00208208015846578
2.7455,2.6838,2.71465,0.062087339100248,0.00213875523109475
2.7467,2.6841,2.7154,0.0637325917238281,0.00219543011370604
2.7483,2.6844,2.71635,0.0653776079494058,0.00225209685299099
2.7495,2.6847,2.7171,0.0670223767463052,0.0023087550689701
2.7504,2.6847,2.71755,0.0686673929718829,0.00236542180825505
2.752,2.6847,2.71835,0.0703126511116115,0.00242209688088402
2.7535,2.6853,2.7194,0.0719579037351916,0.00247877176349531
2.7548,2.6853,2.72005,0.0736031618749202,0.00253544683612428
2.756,2.6853,2.72065,0.0752484144985003,0.00259212171873557
2.7573,2.6857,2.7215,0.0768936726382288,0.00264879679136454
2.7585,2.686,2.72225,0.0785389307779574,0.0027054718639935
2.7597,2.6863,2.723,0.0801841834015375,0.0027621467466048
2.7613,2.6866,2.72395,0.0818294415412661,0.00281882181923376
2.7625,2.6869,2.7247,0.0834746996809946,0.00287549689186273
2.7635,2.6872,2.72535,0.0851197103912328,0.00293216344115788
2.7647,2.6872,2.72595,0.0867647266168105,0.00298883018044283
2.7659,2.6875,2.7267,0.0884099792403906,0.00304550506305412
2.7672,2.6875,2.72735,0.0900552373801192,0.00310218013568309
2.7681,2.6878,2.72795,0.0917004955198477,0.00315885520831205
2.7697,2.6881,2.7289,0.0933457481434278,0.00321553009092335
2.7709,2.6881,2.7295,0.0949910062831564,0.00327220516355231
2.7718,2.6884,2.7301,0.096636264422885,0.00332888023618128
2.7731,2.6888,2.73095,0.0982812751331232,0.00338554678547642
2.774,2.6891,2.73155,0.0999262913587008,0.00344221352476137
2.7752,2.6891,2.73215,0.101571543982281,0.00349888840737267
2.7762,2.6894,2.7328,0.10321680212201,0.00355556348000163
2.7774,2.6894,2.7334,0.104862060261738,0.0036122385526306
2.7787,2.6903,2.7345,0.106507312885318,0.00366891343524189
2.7793,2.6903,2.7348,0.108152571025047,0.00372558850787086
2.7805,2.6906,2.73555,0.109797823648627,0.00378226339048215
2.7814,2.6906,2.736,0.111443081788355,0.00383893846311112
2.7824,2.6912,2.7368,0.113088339928084,0.00389561353574008
2.7836,2.6912,2.7374,0.114733592551664,0.00395228841835138
2.7849,2.6912,2.73805,0.116378850691393,0.00400896349098034
2.7858,2.6915,2.73865,0.118024108831121,0.00406563856360931
2.787,2.6919,2.73945,0.119669361454701,0.0041223134462206
2.788,2.6919,2.73995,0.12131461959443,0.00417898851884957
2.7886,2.6925,2.74055,0.12295987221801,0.00423566340146087
2.7898,2.6925,2.74115,0.124605130357739,0.00429233847408983
2.7904,2.6928,2.7416,0.126250388497467,0.00434901354671879
2.7914,2.6928,2.7421,0.127895641121047,0.00440568842933009
2.7929,2.6931,2.743,0.129540899260776,0.00446236350195905
2.7935,2.6931,2.7433,0.131185915486354,0.004519030241244
2.7945,2.6934,2.74395,0.132830926196592,0.00457569679053915
2.7954,2.694,2.7447,0.13447618433632,0.00463237186316812
2.7963,2.694,2.74515,0.1361214369599,0.00468904674577941
2.7973,2.694,2.74565,0.137766695099629,0.00474572181840838
2.7982,2.6943,2.74625,0.139411953239358,0.00480239689103734
2.7994,2.6946,2.747,0.141057205862938,0.00485907177364864
2.8,2.6946,2.7473,0.142702464002666,0.0049157468462776
2.801,2.6953,2.74815,0.144347716626246,0.0049724217288889
2.8019,2.6953,2.7486,0.145992974765975,0.00502909680151786
2.8028,2.6953,2.74905,0.147638232905703,0.00508577187414683
2.8038,2.6956,2.7497,0.149283485529284,0.00514244675675812
2.8047,2.6959,2.7503,0.150928743669012,0.00519912182938709
2.8053,2.6962,2.75075,0.152574001808741,0.00525579690201605
2.8062,2.6962,2.7512,0.154219254432321,0.00531247178462735
2.8069,2.6965,2.7517,0.155864512572049,0.00536914685725631
2.8078,2.6965,2.75215,0.157509765195629,0.00542582173986761
2.809,2.6971,2.75305,0.159154781421207,0.00548248847915256
2.8097,2.6971,2.7534,0.160799797646785,0.00553915521843751
2.8106,2.6974,2.754,0.162445050270365,0.0055958301010488
2.8115,2.6974,2.75445,0.164090308410093,0.00565250517367777
2.8118,2.6981,2.75495,0.165735566549822,0.00570918024630673
2.8128,2.6981,2.75545,0.167380819173402,0.00576585512891803
2.8137,2.6984,2.75605,0.169026077313131,0.00582253020154699
2.8143,2.6987,2.7565,0.170671329936711,0.00587920508415829
2.8149,2.6987,2.7568,0.172316588076439,0.00593588015678725
2.8159,2.6993,2.7576,0.173961846216168,0.00599255522941622
2.8168,2.6993,2.75805,0.175607098839748,0.00604923011202751
2.8177,2.6993,2.7585,0.177252356979477,0.00610590518465648
2.8183,2.6999,2.7591,0.178897609603057,0.00616258006726778
2.819,2.6999,2.75945,0.180542625828634,0.00621924680655273
2.8196,2.7002,2.7599,0.182187642054212,0.00627591354583767
2.8205,2.7005,2.7605,0.18383265276445,0.00633258009513282
2.8214,2.7005,2.76095,0.185477668990028,0.00638924683441777
2.8221,2.7008,2.76145,0.187122921613608,0.00644592171702907
2.8227,2.7012,2.76195,0.188768179753337,0.00650259678965803
2.8236,2.7012,2.7624,0.190413437893065,0.006559271862287
2.8245,2.7012,2.76285,0.192058690516645,0.00661594674489829
2.8252,2.7015,2.76335,0.193703706742223,0.00667261348418324
2.8258,2.7018,2.7638,0.195348722967801,0.00672928022346819
2.8267,2.7021,2.7644,0.196993733678039,0.00678594677276334
2.8273,2.7021,2.7647,0.198638749903617,0.00684261351204829
2.8276,2.7024,2.765,0.200284002527197,0.00689928839465959
2.8286,2.7024,2.7655,0.201929260666925,0.00695596346728855
2.8295,2.703,2.76625,0.203574518806654,0.00701263853991752
2.8301,2.703,2.76655,0.205219771430234,0.00706931342252881
2.8304,2.7033,2.76685,0.206865029569962,0.00712598849515778
2.8314,2.7033,2.76735,0.208510287709691,0.00718266356778674
2.8317,2.7036,2.76765,0.210155540333271,0.00723933845039804
2.8326,2.7039,2.76825,0.211800556558849,0.00729600518968299
2.8335,2.7043,2.7689,0.213445567269087,0.00735267173897813
2.8338,2.7043,2.76905,0.215090825408816,0.0074093468116071
2.8348,2.7046,2.7697,0.216735841634393,0.00746601355089205
2.8354,2.7046,2.77,0.218380852344631,0.0075226801001872
2.836,2.7049,2.77045,0.220025868570209,0.00757934683947215
2.8369,2.7049,2.7709,0.221670879280447,0.00763601338876729
2.8373,2.7052,2.77125,0.223316137420176,0.00769268846139626
2.8379,2.7055,2.7717,0.224961395559904,0.00774936353402522
2.8385,2.7061,2.7723,0.226606648183485,0.00780603841663652
2.8391,2.7061,2.7726,0.228251906323213,0.00786271348926548
2.8397,2.7064,2.77305,0.229896922548791,0.00791938022855043
2.8407,2.7067,2.7737,0.231541933259029,0.00797604677784558
2.8413,2.7067,2.774,0.233187191398757,0.00803272185047454
2.8419,2.707,2.77445,0.234832444022338,0.00808939673308584
2.8425,2.7074,2.77495,0.236477702162066,0.00814607180571481
2.8431,2.7074,2.77525,0.238122718387644,0.00820273854499975
2.8438,2.7077,2.77575,0.239767729097882,0.0082594050942949
2.8444,2.708,2.7762,0.241412987237611,0.00831608016692387
2.845,2.708,2.7765,0.243058245377339,0.00837275523955283
2.8453,2.7083,2.7768,0.244703498000919,0.00842943012216413
2.8459,2.7086,2.77725,0.246348756140648,0.00848610519479309
2.8469,2.7086,2.77775,0.247994008764228,0.00854278007740439
2.8475,2.7089,2.7782,0.249639266903957,0.00859945515003335
2.8481,2.7092,2.77865,0.251284525043685,0.00865613022266232
2.8487,2.7092,2.77895,0.252929777667265,0.00871280510527361
2.8493,2.7095,2.7794,0.254575035806994,0.00876948017790258
2.85,2.7098,2.7799,0.256220046517232,0.00882614672719773
2.8506,2.7098,2.7802,0.25786506274281,0.00888281346648268
2.8509,2.7101,2.7805,0.259510320882538,0.00893948853911164
2.8515,2.7105,2.781,0.261155573506118,0.00899616342172294
2.8521,2.7105,2.7813,0.262800831645847,0.0090528384943519
2.8524,2.7105,2.78145,0.264446089785575,0.00910951356698086
2.8531,2.7108,2.78195,0.266091342409156,0.00916618844959216
2.8537,2.7111,2.7824,0.267736600548884,0.00922286352222113
2.8543,2.7111,2.7827,0.269381853172464,0.00927953840483242
2.8549,2.7114,2.78315,0.271027111312193,0.00933621347746139
2.8559,2.7117,2.7838,0.272672369451921,0.00939288855009035
2.8562,2.712,2.7841,0.274317622075501,0.00944956343270165
2.8568,2.712,2.7844,0.27596288021523,0.00950623850533061
2.8574,2.7123,2.78485,0.277607896440808,0.00956290524461556
2.858,2.7123,2.78515,0.279252907151046,0.00961957179391071
